date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:36	150677/150677	---M-Z	200	added ('OK')	text/html	etag:%221526952428-1%22	http://www.coolmath-games.com/0-learn-to-fly-3	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/0-learn-to-fly-3.html	(from http://www.coolmath-games.com/)
14:44:38	5433/5433	---M--	200	added ('OK')	image/png	etag:%221539-5687ef5638b98%22	http://www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/rocket-dancer-game-logo.png?0=itok%3DhIGH5IEy	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/rocket-dancer-game-logoa3ea.png	(from http://www.coolmath-games.com/)
14:44:38	5514/5514	---M--	200	added ('OK')	image/png	etag:%22158a-564921f3eb780%22	http://www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/basketball-master-2-game-logo.png?0=itok%3DCZDzf0re	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/basketball-master-2-game-logo0f89.png	(from http://www.coolmath-games.com/)
14:44:38	5237/5237	---M--	200	added ('OK')	image/png	etag:%221475-56314eb562788%22	http://www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/learn-to-fly-3-game-logo-3.png?0=itok%3DrNodarvN	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/learn-to-fly-3-game-logo-37e57.png	(from http://www.coolmath-games.com/)
14:44:38	149867/149867	---M-Z	200	added ('OK')	text/html	etag:%221526952480-1%22	http://www.coolmath-games.com/0-moto-x3m-winter	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/0-moto-x3m-winter.html	(from http://www.coolmath-games.com/)
14:44:39	150734/150734	---M-Z	200	added ('OK')	text/html	etag:%221526952203-1%22	http://www.coolmath-games.com/0-awesome-tanks-2	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/0-awesome-tanks-2.html	(from http://www.coolmath-games.com/)
14:44:40	156110/156110	---M-Z	200	added ('OK')	text/html	etag:%221526952579-1%22	http://www.coolmath-games.com/0-papas-sushiria	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/0-papas-sushiria.html	(from http://www.coolmath-games.com/)
14:44:42	3899/3899	---M--	200	added ('OK')	image/gif	etag:%22f3b-5455fb127a7a8%22	http://www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/papas-sushiria-game-logo.gif?0=itok%3DWpToc0aY	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/papas-sushiria-game-logo60df.gif	(from http://www.coolmath-games.com/)
14:44:42	5902/5902	---M--	200	added ('OK')	image/png	etag:%22170e-55d06501602c0%22	http://www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/awesome-tanks-2-game-logo.png?0=itok%3DkvrNbgS3	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/awesome-tanks-2-game-logo8f08.png	(from http://www.coolmath-games.com/)
14:44:42	8330/8330	---M--	200	added ('OK')	image/png	etag:%22208a-560cc77075388%22	http://www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/moto-x3m-winter-game-logo.png?0=itok%3DBoo967iN	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/styles/thumbnail_small/public/game_thumbnail/moto-x3m-winter-game-logo58e3.png	(from http://www.coolmath-games.com/)
14:44:42	152921/152921	---M-Z	200	added ('OK')	text/html	etag:%221526952246-1%22	http://www.coolmath-games.com/0-clicker-heroes	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/0-clicker-heroes.html	(from http://www.coolmath-games.com/)
